[2025-08-25T09:43:36.339Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.340Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.341Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.341Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.342Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.342Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.343Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.343Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.343Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.344Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.344Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.344Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.345Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.345Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.345Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.346Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.346Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.346Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.346Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.347Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.347Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.347Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.348Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.348Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.348Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.348Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.349Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.349Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.349Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.350Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.350Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.350Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.351Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.351Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.351Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.352Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.352Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.352Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.353Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.353Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.353Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.354Z] ⚠️ 跳过记录：没有学生姓名
[2025-08-25T09:43:36.354Z] 
🎉 完成！更新: 0, 错误: 0
[2025-08-25T09:43:36.355Z] 日志已保存到: C:\Users\munpo\OneDrive\Desktop\pjpc-app-html\scripts\merge-execution-log.txt
